ticker,date,open,high,low,close,volume,percentchange
TLRY,06-Nov-2018,102.5,107.75,98.5,106.86,2340400,
TLRY,07-Nov-2018,116,142.84,109.185,139.6,9847400,
TLRY,08-Nov-2018,134.7,134.94,115,118.7,5537400,
TLRY,09-Nov-2018,114.72,119.59,105.28,108.99,3003700,
TLRY,12-Nov-2018,114,116.44,105.55,113.44,2902000,
TLRY,13-Nov-2018,113.75,115.86,109,111.55,2362000,
TLRY,14-Nov-2018,105.6,109,99,102.34,2841300,
TLRY,15-Nov-2018,101.02,113.85,100.5,107.27,2438600,
TLRY,16-Nov-2018,110,112.9,108.32,110.48,1626800,
TLRY,19-Nov-2018,110.46,110.95,102.27,106.77,1727500,
TLRY,20-Nov-2018,100,111.69,99.35,104,1709800,
TLRY,21-Nov-2018,107.22,110.19,105.26,109.31,1392700,
TLRY,22-Nov-2018,109.31,109.31,109.31,109.31,0,
TLRY,23-Nov-2018,110.52,117.77,110.52,116.03,2048300,
TLRY,26-Nov-2018,120,120.4,112.6,114.14,2006900,
TLRY,27-Nov-2018,112.9,117.56,112.05,114,1894700,
