id,ticker,sent,msg,comment
144452656,MU,Bullish,"$MU so if this keeps earning between $10-12 every year without a big dip
How long will it take to buy back
ALL the shares?
I would..."
144447159,MU,Bullish,$MU Accumulation: Chapter One. GL
144444864,MU,Bullish,$MU where r the bears singing today ?? 😂🤣😂
144443786,MU,Bullish,$MU only up from now
144443561,MU,Bullish,$MU gap up is imminent
144443422,MU,Bullish,$MU need volume and we could test $42 but this is ridiculous
144443181,MU,Bullish,$MU Overdue for $7+ gap up. It&#39;s very close. Solid gold. GL
144442254,MU,Bullish,$INPX $LXFR $RHHNF $MU
144458757,IQ,Bullish,"$IQ $YY $JD $MOMO SMASH CHINA and PUMP USA, same story day after day, week after week, and month after month..."
144458513,IQ,Bearish,$IQ Chinese aren’t allowed to watch tv willingly. Bearish
144458136,IQ,Bullish,$IQ Goooooood now keep that gap open
144457850,IQ,Bullish,$BABA $HUYA $JD $IQ $BIDU
144457127,IQ,Bullish,$IQ thanks for 20.9 and 21 buys!
144456441,IQ,Bullish,$IQ bounce coming
144456060,IQ,Bullish,#Update(6)  $IQ Nov-16 21 Calls Down -30%. since alerted on: Nov 01. Peak 23%
144455153,IQ,Bullish,$IQ omg guys hurry sell everything 🤣🤣🤣
144454481,IQ,Bullish,"$IQ
here is where the bloodshed started today.. but just so you know I&#39;m bullish and i love iq..."
144453462,IQ,Bullish,"$IQ 30 min RSI... i mean, gotta recover at some point"
144452964,IQ,Bullish,$IQ long here
144452444,IQ,Bullish,"$JD all Chinese tech is down, calm your titties the fukc down. $IQ $TENCENT $BABA"
144452360,IQ,Bullish,$IQ ready to BUY! Where do you all think it’s going to bounce? $21 or $20.75 range?
144452321,IQ,Bullish,$TEUM $IQ $NIO Holding strong.
144452207,IQ,Bullish,"$IQ this is an absolute steal

https://marketbrothersmedia.com/are-jd-com-iqiyi-and-tencent-buys-right-now/"
144459510,JD,Bullish,$SQ $TCEHY $JD falling knifes to catch
144458905,JD,Bearish,$JD china garbage
144458757,JD,Bullish,"$IQ $YY $JD $MOMO SMASH CHINA and PUMP USA, same story day after day, week after week, and month after month..."
144457850,JD,Bullish,$BABA $HUYA $JD $IQ $BIDU
144457820,JD,Bullish,$JD tried a few 22.75
144457701,JD,Bullish,"$YY China deal is Trump leverage. He’ll use it to dissuade attention when the next story comes-out, or he says something idiotic $WB $JD"
144456738,JD,Bearish,$JD Market is still hanging out at the highs of the day. This has crashed tho! Junk stock!
144456337,JD,Bullish,$JD shorts covered a lot and not much time left
144454322,JD,Bearish,$JD If we close the day like this it is almost certain the swing low will be taken out.
144454072,JD,Bearish,$JD short this shot to zero. Chinese garbage
144453960,JD,Bearish,$JD what the fuck is this only.down 5%.for. should be back.to $20. Garbage.company. no one believes the numbers they report..rapist CEO. Easy short
144453890,JD,Bearish,$JD Not touching this until it hits 16.50
144453160,JD,Bullish,"$JD up 5%  down 5%, this company is still a fucking steal

https://marketbrothersmedia.com/are-jd-com-iqiyi-and-tencent-buys-right-now/"
144459272,BABA,Bearish,$BABA baby ts comming down
144459198,BABA,Bearish,$BABA I. Smell 145
144459137,BABA,Bearish,$BABA worthless trash pisses away yesterdays gains
144459125,BABA,Bearish,$BABA  诈骗 !
144458248,BABA,Bearish,$BABA you actually thought +5 from yesterday was actually real lol.. keep buying those 100 puts
144457850,BABA,Bullish,$BABA $HUYA $JD $IQ $BIDU
144457222,BABA,Bullish,$BABA going up bigly tomorrow
144457173,BABA,Bearish,$BABA Total disaster of a stock!
144456375,BABA,Bullish,$BABA $AMZN look at that Chinese GDP growth. I recognize exponential growth when I see it. Shanghai Composite down 20% this yr vs US up 5%
144456309,BABA,Bullish,$BABA One day this will be over a trillion dollars.
144456020,BABA,Bullish,$BABA tax cuts China will cause record net income beats just like in US last year. Alibaba revenue growth of 55% twice as fast as $AMZN 30%
144455955,BABA,Bullish,$BABA have been holding patiently💰 😂😂😂🚀
144454570,BABA,Bearish,$BABA look AMZN. BABA WILL BE 100.
144459810,AMD,Bullish,"$AMD  If fed dovish, this would be up positive up from neutral (not dovish) and you will see 23 today AMD.  Because market will explode."
144459801,AMD,Bullish,$AMD Sir? Should everyone start buying now?
144459800,AMD,Bearish,"$AMD nethertheless im still waiting for gap close at 22.73(open short position), and im very dissapointed from bulls :)"
144459799,AMD,Bullish,$SUNW let’s break this .55 &amp; the sky is the limit! @ACInvestorBlog @CamTheMan_ sleeping on this!! $FB $AMD $AAPL love them!
144459549,AMD,Bullish,$AMD In Lisa we trust https://www.barrons.com/articles/amd-chief-lisa-su-aims-to-take-massive-market-share-from-intel-1541621171
144459792,JD,Bearish,$JD Opened short position.
144459873,BABA,Bullish,$BABA This company is worth A Huge amount! What’s holding it back ? Hmmm
144459757,BABA,Bullish,$BABA Super low volume day. Singles day and 20th Nov Xi meeting should help.
144459731,BABA,Bearish,$BABA this is heading for 145.heavy bearish. I think
144460171,TLRY,Bearish,$TLRY pumps from yesterday be like
144458246,TLRY,Bullish,$TLRY about to break away according to my palm reader!!!
144457971,TLRY,Bullish,@TechGeek Pay attention on $TLRY if you got the heart for it. 😂😆😂😆💪🏼 I won’t be surprised to see it over $250 High volatility
144457776,TLRY,Bearish,$TLRY cliff dive coming soon
144455535,TLRY,Bearish,$TLRY $CGC $ACB  pot investors realizing they were just super high yesterday &amp; it’s still a bubble.
144455384,TLRY,Bearish,$TLRY that is how the bagholders will look
144454553,TLRY,Bearish,"$TLRY Max Pain target is 110.00 this will be sub 120,00 tomorrow....sell today Monday even worse, so good luck!!"
144452332,TLRY,Bullish,$TSLA $NVDA $HEAR $UBNT $AMD $TLRY $ $BABA BUY AND HOLD LONG
144452277,TLRY,Bullish,"$TLRY buy when it hits the mid $90s, will then go back to mid $140s. #SwingTradePosition"
144451835,TLRY,Bearish,$TLRY SSR restricted today through tomorrow. Keep that in mind if you&#39;re thinking short term
144459510,TCEHY,Bullish,$SQ $TCEHY $JD falling knifes to catch
144422842,TCEHY,Bullish,https://gearupinvestor.com/blog/best-stock-to-buy-right-now-november-2018/ $JD $BABA $BIDU $TCEHY $CYOU $AMD $EXPR $MSFT $MU $JNJ
144407904,TCEHY,Bullish,"$SPY $DIA $QQQ $BABA $IQ $TCEHY 
IMHO now that Dems won house..Trump needs good news. Trade war w China ends soon."
144377705,TCEHY,Bullish,"$JD, $BABA, $BIDU, $TCEHY $CYOU $AMD $EXPR $MSFT $MU $JNJ https://gearupinvestor.com/blog/best-stock-to-buy-right-now-november-2018/"
144367599,TCEHY,Bullish,$TCEHY closed Friday with a bullish outside week after getting support right on the 200-week sma. 50% declines don&#39;t come around often.
144360544,TCEHY,Bullish,Take an eye on $CWEB for tomorrow. Asian markets should be on a high overnight $baba $nio $jd $yy $TCEHY $bidu $momo
144435268,APRN,Bullish,$APRN hold tight.
144433667,APRN,Bullish,$APRN shorts are gonna burn
144425960,APRN,Bullish,$APRN good morning people shoutout to all all us die hard :)
144392304,APRN,Bearish,$APRN 2 days under the 20 MA
144387259,APRN,Bullish,$APRN revisited my stats.  last chance for shorts to cover or longs to load more &lt;1.2s only tomorrow. IMO BO $3dec tgt or wm are in BO talk?
144386828,APRN,Bullish,"$APRN all right, going to regain the lost ground and move another 20%, by Monday
. To shorts’s surprise, Wednesday it opens at 1.75"
144383613,APRN,Bullish,$APRN filled that gap and held over it. Pay me blue apron
144383274,APRN,Bearish,$APRN I called this Short in 7s so those of u who think I am wrong U have lot room to makeup but in meantime the Dead cat bounce almost over
144374444,APRN,Bullish,$APRN without changes there will be no Netflix. With changes families will have option shopping Apron great food and ship to ur door step.
144351557,APRN,Bearish,$APRN looks like coindude is correct on bearish
144350874,APRN,Bearish,$APRN what a total turd
144349937,APRN,Bearish,$APRN management is horrible. Too stubborn to see what is happnening. Selling this and moving on to something else. Subscribers down again
144342780,APRN,Bearish,$APRN should I sell now and cut my loss?
144341951,APRN,Bullish,$APRN This was 1.50 on Monday. Shorts are begging for you to sell. Please keep tight and wait until ER. I added more 2day at 1.20 2k shares.
144341202,APRN,Bullish,$APRN GREED...this will be 1.50 by Friday
144460276,AMD,Bullish,$AMD wait till 2pm lock profits yeezz learn to day trade lol that way u won&#39;t be crying every day
144460161,AMD,Bullish,$AMD YEAH BOI!!!!!!!!!!!!!!!!!!!!!!!!!!!!✔✔✔
144460103,AMD,Bearish,$AMD bulls ran
144459221,AMD,Bullish,$AMD When Nasdaq clears this hurdle it&#39;s spikey time
144459159,AMD,Bullish,$AMD up now
144458919,AMD,Bullish,$AMD isn&#39;t already established that AMD is a reputable bear killer???
144458918,AMD,Bearish,$AMD next big discount in coming. amd will be the best stock with much growing potential in q3/2019.
144458902,AMD,Bullish,"$AMD So oversold. So much room to run look at daily, weekly RSI indicators. A stk  ahead of its competitors but fundamentally flawed for now"
144458901,AMD,Bullish,$AMD covered by little short trip this puppy is a trading machine
144458375,AMD,Bullish,"$AMD GTFOH, Shorty, it&#39;s bouncy-time!"
