id,ticker,sent,msg,comment,t,/,2,0,1,8,-,1,1,-,2,6,.,c,s,v
146136904,IQ,Bullish,$IQ $NIO gapping up (Blog idea). Eyes on $SOLO as well (EV sector).,,,,,,,,,,,,,,,,,
146136632,IQ,Bullish,$BABA $IQ $HUYA $JD $bili Bears looking at futures tonight,,,,,,,,,,,,,,,,,
146136192,IQ,Bearish,$IQ pig,,,,,,,,,,,,,,,,,
146135959,IQ,Bullish,"$IQ  
IQIYI Inc (IQ) Stake Increased by Credit Suisse AG 
https://www.fairfieldcurrent.com/2018/11/24/iqiyi-inc-iq-stake-increased-by-credit-suisse-ag.html",,,,,,,,,,,,,,,,,
146135906,IQ,Bullish,"$IQ  
11,475 Shares in IQIYI Inc (IQ) Purchased by American National Insurance Co. TX 
https://www.fairfieldcurrent.com/2018/11/25/american-national-insurance-co-tx-takes-position-in-iqiyi-inc-iq.html",,,,,,,,,,,,,,,,,
146166642,TLRY,Bullish,"9 Marijuana Stocks Listed on the NASDAQ

https://mjobserver.com/investments/stocks/9-marijuana-stocks-listed-on-the-nasdaq/

$NDAQ $MJ $HMMJ.CA $TLRY $GWPH $CRON",,,,,,,,,,,,,,,,,
146166186,TLRY,Bearish,$TLRY the value of his stock is probably about $50,,,,,,,,,,,,,,,,,
146166077,TLRY,Bearish,"$TLRY this is the most overvalued marijuana stock in the market. Come January, $MJ ETF is selling off a large chunk of its Tilray shares.",,,,,,,,,,,,,,,,,
146165268,TLRY,Bullish,$CGC $ACB $CRON $TLRY You guys take a look at Organigram great MJ producer profitable already as per previous ER,,,,,,,,,,,,,,,,,
146164300,TLRY,Bearish,$TLRY Weed stocks will go the way of crypto...,,,,,,,,,,,,,,,,,
146162859,TLRY,Bearish,$TLRY 34 trading days until market flooded with Tilray shares that are currently in a 180 day IPO lockup. January 15th. Tick. Tick.,,,,,,,,,,,,,,,,,
146162404,TLRY,Bearish,"$TLRY Tilray owners,

Where are clinical trials for YOUR patented, FDA-approved meds?

https://seekingalpha.com/news/3411981-gw-pharmas-epidiolex-successful-second-late-stage-study-dravet-syndrome

U.S. insurance companies require this, you know...",,,,,,,,,,,,,,,,,
146160963,TLRY,Bullish,$TLRY $114.80 great entry on long position,,,,,,,,,,,,,,,,,
146158566,TLRY,Bearish,$TLRY all the gurus telling you to buy here.. you know what that means...buy all the puts you can or just sell.. should see under 100 by eow,,,,,,,,,,,,,,,,,
146156995,TLRY,Bullish,"$TLRY reclaime Friday high 117.77 is key to go , 127 is next",,,,,,,,,,,,,,,,,
146156824,TLRY,Bearish,$TLRY I welcome a parabolic push to 200,,,,,,,,,,,,,,,,,
146154111,TLRY,Bearish,$TLRY I hope this hits,,,,,,,,,,,,,,,,,
146153876,TLRY,Bearish,$TLRY Who bought over $120 this morning??😂😂,,,,,,,,,,,,,,,,,
146153571,TLRY,Bullish,"$TLRY   target price 133.00$     
 Forecast from Dominant investors app",,,,,,,,,,,,,,,,,
146152262,TLRY,Bullish,$NBEV Crush the shorts. $AMRS $CRON $TLRY $ACB $CGC 20% off Full Spectrum CBD Extract at http://www.rmpure.com !,,,,,,,,,,,,,,,,,
146152055,TLRY,Bearish,$TLRY 110 today,,,,,,,,,,,,,,,,,
146162364,APRN,Bullish,"Sold my small positions in $ANY $INPX ..

Added $RSLS $LMFA $APRN $SNAP $ABIL",,,,,,,,,,,,,,,,,
146161699,APRN,Bullish,"$APRN IMO, CEO likely has some news to share in the upcoming conference PT$1.75",,,,,,,,,,,,,,,,,
146156608,APRN,Bullish,$APRN hoping for a bounce soon...,,,,,,,,,,,,,,,,,
146156113,APRN,Bullish,$FB $APRN $AMZN,,,,,,,,,,,,,,,,,
146152507,APRN,Bullish,$APRN way oversold $AMZN should buy it,,,,,,,,,,,,,,,,,
146140573,APRN,Bullish,$APRN short squeeze possible due to heavy short vol $DAL $AMZN,,,,,,,,,,,,,,,,,
146113464,APRN,Bullish,$APRN headed back up to test the 20 MA,,,,,,,,,,,,,,,,,
146080360,APRN,Bullish,"Watchlist for the upcoming week:
$LMFA $ABIL $INPX $SNAP $APRN $DTEA $DBX $DOCU $PRTK $SRNE $YECO $FB $SQ",,,,,,,,,,,,,,,,,
146075646,APRN,Bullish,$APRN walmart and ww would not partner with blue apron if they saw blue aprn as dying company . There are more smarter than shorts. pT $2,,,,,,,,,,,,,,,,,
146061528,APRN,Bullish,"$APRN I waiting for a  buy out in December, or on to profitability in 2019. That&#39;s written in stone.",,,,,,,,,,,,,,,,,
146058644,APRN,Bullish,"$APRN the amount of outstanding is 70M. I predict with the 4% work force cut, we going to see some positive numbers, a sustainable model.",,,,,,,,,,,,,,,,,
146055490,APRN,Bullish,$LMFA $YETI $ABIL $INPX $ANY $MARA $TEUM $IPAS $FL $MICT $DTEA $APRN $SNAP $TOPS $ESEA $PXS $GLBS on my watch list next week.,,,,,,,,,,,,,,,,,
146040852,APRN,Bullish,$ABIL 50% down? Way oversold even on retrace bounce could net you good return $MTSL $AAPL $AMZN $APRN good plays,,,,,,,,,,,,,,,,,
146040336,APRN,Bullish,"$LMFA volume picking up here .. looks good

$EARS $ABIL $ANY $IPAS $TEUM $IDXG $DTEA $APRN $NBEV $ACG is my watchlist currently",,,,,,,,,,,,,,,,,
146033021,APRN,Bullish,$APRN high Short interest = short squeeze $GNC $AMZN $TGT $DAL,,,,,,,,,,,,,,,,,
146032625,APRN,Bullish,@TommyTheBull got in $APRN  pm ..gl luck brother i did well on $OSTK  this year but never held threw ER&#39,s,,,,,,,,,,,,,,,,
146032009,APRN,Bullish,$APRN got in pm gl everyone,,,,,,,,,,,,,,,,,
146160259,TCEHY,Bullish,$TCEHY looking good here,,,,,,,,,,,,,,,,,
146154478,TCEHY,Bullish,$TCEHY gap up outside of the descending channel. I&#39,d expect it to fade back in and have more of a battle before seeing continuation...,,,,,,,,,,,,,,,,
146079814,TCEHY,Bullish,$JD $KWEB $TCEHY Great Read - Hayden Capital&#39,s 3Q18 Letter: Update and Long Thesis for JD.com  https://investoralmanac.com/2018/11/18/hayden-capital-3q18-letter-update-and-thesis-for-jd-com/,,,,,,,,,,,,,,,,
146030699,TCEHY,Bullish,"$TCEHY insider trading, later today they&#39;re going to announce their Clash Royale earnings numbers. They&#39;re off the charts",,,,,,,,,,,,,,,,,
