o,u,t,p,u,t,/,2,0,1,8,-,1,1,-,1,3,.,c,s,v
144951978,AMD,Bullish,$AMD 20 incoming
144951411,AMD,Bullish,$AMD   Proven/tested architecture. You can wait for proven sales and buy at 30 or buy at 20 now knowing best technology is always adapted.
144951385,AMD,Bullish,"$AMD If only the last hour would continue in to close! That CNBC $86 PT would be on tap for close. Stay long, my friends! ps-no$86 today."
144951226,AMD,Bullish,$AMD 20.25 eod
144951171,AMD,Bullish,$AMD boom!
144951086,AMD,Bullish,$AMD hit a low of 16.17 on 10/30.  why are people still looking for a dip?  extrapolate value now vs 2019/2020.
144950971,AMD,Bullish,$MNGA $amd $nvdia $hear $trxc $vstm $acb put some money at MNGA 🚀🚀🚀🚀🚀🚀🚀🚀🚀
144950939,AMD,Bullish,$MNGA yes yes yes $AMD and $AAPL my calls are getting juicy
144950809,AMD,Bullish,$AMZN buy buy uy $MU $LRCX $AMD $AVGO $NVDA $BIDU $BABA Being strongly supported at this level.
144950767,AMD,Bullish,$AMD lets go
144950381,AMD,Bullish,$AMD I guess the bears need to find a bigger cave to hide in
144950337,AMD,Bullish,$AMD Picking up speed nicely.
144950244,AMD,Bullish,$AMD boom
144949773,AMD,Bearish,$AMD Could be a long way down. Watching $20.80 area (if it gets there)
144949546,AMD,Bullish,$AMD idc what anyone says amd will run the cpu market for the next 4 years and the professional gpu market soon
144948997,AMD,Bullish,$AMD The future of super computers. https://globenewswire.com/news-release/2018/11/13/1650606/0/en/New-AMD-Powered-Supercomputers-Unleash-Discovery-and-Accelerate-Innovation.html
144948412,AMD,Bullish,$AMD nice bouncing
144951640,JD,Bullish,$JD do you know that JD.com is Chinese amazon. Google and Apple invest in this company. You should respect this company just like amazon
144951501,JD,Bullish,"$NIO all China plays will run $NIO $BILI $IQ $JD $BABA, $JMU"
144951178,JD,Bullish,$BABA $jd and the crowd goes wild!
144948095,JD,Bullish,$JD Kudlow confirmed that we are speaking to China. Yup 👍
144947769,JD,Bullish,"$bidu $baba $jd Kudlow says Navarro&#39;s views the other day don&#39;t represent administrations,  did the president a disservice,  was freelancing"
144947123,JD,Bullish,"$JD SP500 is forming inverse cup and handle, big end of day rally coming."
144946953,JD,Bullish,hopefully the asian market will reward me for taking risk. $NIO $JD
144945271,JD,Bullish,$jd $mu $amd $msft $cyou $jnj $ tcehy $baba #stock #hotnow #tradealerts #news to #trade on #stockmarkets #share #earngearcoin #redeemgift https://gearupinvestor.com/best-stock-to-buy-right-now-november-2018/
144944305,JD,Bullish,market looks scary but bot back $nio $jd anyway...see how it goes.
144939706,JD,Bullish,$JD anybody having problems with ameritrade ??
144939124,JD,Bullish,$IQ $JD $wb $YY $NIO no more trade war look at CNN
144936329,JD,Bearish,$JD Crashing right back down! Hahah what a turd!
144932982,JD,Bullish,"$JD IMO, on an uptrend until $23,$30 or $50 🚀😊💰"
144928540,JD,Bullish,"WOW!! $WB $JD bought some at lowest price,LOOK GREAT on up trend🚀😂😂😂💰"
144951848,TLRY,Bearish,$TLRY push to $130 and I’ll load puts
144951828,TLRY,Bearish,"$TLRY buy the ticket, enjoy the ride. 🎫"
144951483,TLRY,Bullish,"$TLRY Bears, I&#39;m with you on what this should do, but Brendan Kennedy is going to pull an Elon Musk and say some crazy inspiration all shit"
144950393,TLRY,Bearish,$TLRY this will crash hard after the pump
144950355,TLRY,Bullish,$TLRY here it comes volume is moving up
144950167,TLRY,Bullish,$TLRY Trap !!! Lmao
144949933,TLRY,Bullish,$TLRY woooooooooo! Mother effin woooo!!!
144949023,TLRY,Bullish,@PerSE @reez007 @Frenz @Boyle @Liber8 @Stockcat01 So Future is about=&gt;Trading Emotions $VIX like Tulip MAnia Weed $TLRY Crypto $BTC.X  $SPY
144948509,TLRY,Bearish,$TLRY 00.31 percent Institutional ownership! This stock has no Tegrity!!!
144947972,TLRY,Bearish,$TLRY when is er report released this AH? Right at the bell?
144947934,TLRY,Bearish,$TLRY extremely overvalued stock. This is the worst out of all the big weed stocks.
144947494,TLRY,Bearish,$TLRY Can’t wait for this to get crushed. Worth arguably $0.50
144947418,TLRY,Bearish,$TLRY has anyone noticed most of today’s volume was selling. Low float is keeping this around 112-113. If it breaks 109 it might fall hard.
144946432,TLRY,Bullish,$TLRY all Brendan Kennedy has to do is say the right thing.
144946170,TLRY,Bullish,"$TLRY the bears have it right when they say this market is way over priced, this isn&#39;t a normal market though."
144945951,TLRY,Bullish,$TLRY bear trap be careful
144945132,TLRY,Bearish,$TLRY my favorite
144945090,TLRY,Bullish,$TLRY come on $200!!
